Municipality,Population2024,Employed,HigherEducation,Total15Plus,HigherEducationRate,Settlements,Latitude,Longitude,CurrentAQI,AQI24h,PM2_5_24h,PM10_24h,NO2_24h,O3_24h,EmployedPer1000,PopulationPerSettlement
Deçan,27429,4898,3785,22138,17.09729876230915,37,42.5402,20.2879,33,29.375,10.195833333333333,13.141666666666666,1.6291666666666667,72.0,178.57012650843998,741.3243243243244
Dragash,28637,4054,2448,23559,10.39093340124793,36,42.0265,20.6533,41,36.291666666666664,15.554166666666667,19.479166666666668,2.8666666666666667,87.33333333333333,141.56510807696338,795.4722222222222
Ferizaj,108677,32362,14071,84228,16.70584603694733,45,42.3702,21.1483,42,39.0,13.854166666666666,16.841666666666665,5.966666666666666,79.70833333333333,297.7814993052808,2415.0444444444443
Fushë Kosovë,64393,23605,11381,47439,23.990809249773392,16,42.6394,21.0961,46,37.083333333333336,13.441666666666668,16.3875,9.804166666666667,71.125,366.5771124190518,4024.5625
Gjakovë,77449,21662,10883,62970,17.282833095124666,88,42.3803,20.4308,41,34.958333333333336,12.637500000000001,16.962500000000002,3.5124999999999997,75.29166666666667,279.6937339410451,880.1022727272727
Gjilan,81842,25581,12474,66517,18.753100711096412,49,42.4605,21.4694,39,32.125,10.229166666666666,12.483333333333334,3.7375000000000003,77.45833333333333,312.5656753256274,1670.2448979591836
Gllogoc,47121,12390,5050,36276,13.921049729848937,35,42.6283,20.8939,38,33.833333333333336,12.170833333333334,14.695833333333333,4.879166666666666,70.16666666666667,262.94009040555164,1346.3142857142857
Graçanicë,18592,5781,3716,14806,25.097933270295826,17,42.6011,21.1958,34,31.333333333333332,10.025,12.120833333333332,8.0875,73.45833333333333,310.94018932874354,1093.6470588235295
Hani i Elezit,8555,1546,714,6447,11.074918566775244,11,42.1507,21.2969,40,38.875,13.375,16.758333333333333,5.770833333333333,82.125,180.71303331385155,777.7272727272727
Istog,32464,8247,4221,26385,15.997725980670834,50,42.7808,20.4875,34,29.666666666666668,10.679166666666667,12.924999999999999,2.4208333333333334,68.66666666666667,254.03523903400688,649.28
Junik,3905,678,472,3266,14.451928965094918,3,42.4758,20.2772,35,30.25,9.820833333333333,12.291666666666666,1.7166666666666668,73.33333333333333,173.6235595390525,1301.6666666666667
Kamenicë,22312,5492,2979,19137,15.566703245022731,58,42.5781,21.5803,39,31.791666666666668,9.895833333333334,12.116666666666667,2.2125,79.33333333333333,246.14557188956616,384.6896551724138
Kaçanik,27489,6758,2757,21269,12.962527622361183,31,42.2317,21.2594,41,38.041666666666664,13.174999999999999,16.625,6.7625,80.25,245.84379206227948,886.741935483871
Klinë,29661,6087,3176,23708,13.396321916652607,54,42.6217,20.5778,39,31.416666666666668,11.358333333333334,13.591666666666667,3.4916666666666667,66.0,205.21897441084252,549.2777777777778
Kllokot,3019,503,388,2409,16.10626816106268,4,42.3714,21.3744,40,33.958333333333336,10.954166666666666,13.741666666666667,4.670833333333333,74.70833333333333,166.61146074859226,754.75
Leposaviq,9479,411,311,2833,10.977762089657608,75,43.1039,20.8028,34,30.375,7.104166666666667,8.729166666666666,1.0916666666666666,75.83333333333333,43.35900411435806,126.38666666666667
Lipjan,54571,15570,5928,41804,14.180461199885178,62,42.5217,21.1258,38,34.208333333333336,11.3375,13.762500000000001,8.487499999999999,73.91666666666667,285.31637683018454,880.1774193548387
Malishevë,42413,8447,4245,32516,13.055111329806865,44,42.4822,20.7458,43,37.833333333333336,13.612499999999999,16.462500000000002,6.0375000000000005,75.125,199.16063471105556,963.9318181818181
Mamushë,5636,1645,317,4206,7.536852116024726,1,42.3308,20.7269,42,39.833333333333336,16.041666666666668,19.166666666666668,6.933333333333334,74.125,291.8736692689851,5636.0
Mitrovicë,64201,17523,8204,50171,16.352075900420562,46,42.8833,20.8667,36,29.083333333333332,9.254166666666666,11.508333333333333,3.670833333333333,65.29166666666667,272.9396738368561,1395.6739130434783
Mitrovicë Veriore,7923,594,394,1877,20.990942994139584,3,42.895,20.865,36,29.083333333333332,9.254166666666666,11.508333333333333,3.670833333333333,65.29166666666667,74.97160166603558,2641.0
